192.168.1.180 - - [10/Jan/2019:10:24:20 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:10:24:20 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.180 - - [10/Jan/2019:10:35:07 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.180 - - [10/Jan/2019:10:35:07 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e2s1 HTTP/1.1" 200 2816
192.168.1.180 - - [10/Jan/2019:10:35:07 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:10:35:12 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e2s1 HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:10:46:28 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:10:46:28 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:10:46:28 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:10:46:32 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.180 - - [10/Jan/2019:10:48:29 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:11:26:34 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:11:26:34 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:11:26:34 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:11:26:38 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:11:33:11 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:11:41:32 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:11:54:58 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:13:01:58 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:13:01:58 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:13:01:58 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:13:02:01 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.180 - - [10/Jan/2019:13:24:01 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.180 - - [10/Jan/2019:13:24:01 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.180 - - [10/Jan/2019:13:24:01 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:13:24:01 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.180 - - [10/Jan/2019:13:24:06 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:13:43:35 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
